"STATION
CODE","NAME OF
MONITORING
LOCATION PRIMARY WATER QUALITY CRITERIA NOTIFIED
UNDER E(P) RULES, 1986",STATE NAME,MIN - TEMPERATURE (°C),MAX - TEMPERATURE (°C),"MIN - DISSOLVED
OXYGEN
(mg/L)","MAX - DISSOLVED
OXYGEN
(mg/L)",MIN - pH,MAX -pH,"MIN - CONDUCTIVITY
(µmhos/cm)","MAX - CONDUCTIVITY
(µmhos/cm)","MIN - BIO-CHEMICAL
OXYGEN
DEMAND
(mg/L)","MAX - BIO-CHEMICAL
OXYGEN
DEMAND
(mg/L)","MIN - NITRATE
(mg/L)","MAX - NITRATE
(mg/L)","MIN - FECAL
COLIFORM
(MPN/100ML)","MAX - FECAL
COLIFORM
(MPN/100ML)","MIN - TOTAL
COLIFORM
(MPN/100ML)","MAX - TOTAL
COLIFORM
(MPN/100ML)","MIN - FECAL
STREPTOCOCCI
(MPN/100ML)","MAX - FECAL
STREPTOCOCCI
(MPN/100ML)",Clustered_val
1491,"RIVER BHAGIRATHI AT
GANGOTRI,",UTTARAKHAND,0.1,0.1,10.4,10.4,7.4,7.4,263,263,1,1,0.32,0.32,2,2,2,2,2,2,-0.082757168
1484,"RIVER ALAKNANDA B/C
MANDAKINI AT RUDRA
PRAYAG",UTTARAKHAND,8,22,9.2,10.8,7,8.2,102,246,1,1,0.32,0.37,2,2,2,2,2,2,-0.082757168
1486,"RIVER ALAKNANDA A/C
MANDAKINI AT
RUDRAPRAYAG",UTTARAKHAND,7,21,9.6,10.4,7.1,8.2,65,463,1,1,0.32,0.62,2,2,2,2,2,2,-0.082757168
1488,"RIVER BHAGIRATHI B/C
WITH ALAKNANDA AT
DEVPRAYAG,",UTTARAKHAND,12,20,8.8,10.4,6.9,8.2,77,230,1,1,0.32,0.34,2,2,2,2,2,2,-0.082757168
1487,"RIVER ALAKNANDA B/C
TO BHAGIRATHI AT
DEVPRAYAG",UTTARAKHAND,11,21,9,10.6,7.2,8.1,78,221,1,1,0.32,0.82,2,2,2,2,2,2,-0.082757168
1489,"RIVER ALAKNANDA A/C
WITH BHAGIRATHI AT
DEVPRAYAG",UTTARAKHAND,12,21,9,10.8,7.1,8.3,75,210,1,1,0.32,1.02,2,2,2,2,2,2,-0.082757168
1485,"RIVER MANDAKINI B/C
ALKALNADA AT
RUDRAPRAYAG,",UTTARAKHAND,7,21,9,10.4,7,8.3,56,164,1,1,0.32,0.36,2,2,2,2,2,2,-0.082757168
1060,"RIVER GANGA AT
RISHIKESH U/S,",UTTARAKHAND,10,23,9.2,11,7.1,8.3,101,427,1,1.2,0.32,1.74,2,25,2,43,2,2,-0.082757168
10147,"RIVER GANGA D/S
RISHIKESH",UTTARAKHAND,10,22,9,10.8,7.1,8.2,102,274,1,1.4,0.3,2.1,2,26,2,46,2,2,-0.082757168
2725,"RIVER GANGA AFTER
CONFLUENCE OF SONG
NEAR SATYANARAYAN
TEMPLE D/S RAIWALA,
DEHRADUN",UTTARAKHAND,16,29,8.2,10.8,7.1,8.3,105,641,1,1.8,0.3,1.72,2,84,2,120,2,2,-0.082757168
